GEO;GEO_OBJECT;OBS_STATUS;lcog_geo;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_soc;ind_inc;log;ind_0_17;ind_65p
CRS3035RES200mN3129800E3785800;C200M;A;59183;288;111;46;38;16;9;23;4440655.8;7370;97;14;81;1;111;105;36
CRS3035RES200mN3130000E3786000;C200M;A;59183;396.5;175;41;69;12;99;24;7349348.9;13387;39;136;58;1;175;97.5;104
CRS3035RES200mN3130200E3786000;C200M;A;59183;345;183;80;80;5;28;40;5558613.6;12778;150;33;150;0;183;60;79
CRS3035RES200mN3130000E3785800;C200M;A;59183;263;101;18;30;10;78;6;5437687.7;9002;13;88;5;1;101;67;38
CRS3035RES200mN3130200E3785800;C200M;A;59183;341.5;131;18;28;13;96;10;7035568.4;11900;5;126;24;0;131;84;53
CRS3035RES200mN3129800E3785600;C200M;A;59183;299.5;153;48;80;11;30;18;5349771.4;10543;100;53;69;1;153;67.5;44
CRS3035RES200mN3130000E3785600;C200M;A;59183;365;158;70;68;16;51;17;6014241.9;12283;90;68;67;0;158;88;36
CRS3035RES200mN3129800E3785400;C200M;A;59183;182.5;77;13;27;6;43;7;3727956.6;6470;20;57;2;1;77;40;31
CRS3035RES200mN3130000E3785400;C200M;A;59183;142.5;68;21;32;6;16;8;2673724.8;5070;44;24;32;0;68;29.5;25
CRS3035RES200mN3130200E3785600;C200M;A;59183;335;146;41;59;10;80;17;6161861.2;11737;44;102;5;0;146;77;61
CRS3035RES200mN3130400E3785600;C200M;A;59183;299.5;123;12;28;10;103;13;6332132.2;10933;12;111;15;0;123;69.5;91
CRS3035RES200mN3130200E3785400;C200M;A;59183;41;22;3;8;0;18;2;1039673;2058;3;19;0;0;22;3;13
CRS3035RES200mN3130400E3786000;C200M;A;59183;287;134;41;58;7;8;28;4629975.7;9930;108;26;125;0;134;77.5;44
CRS3035RES200mN3130600E3785800;C200M;I;59183;3;1.4;0.4;0.4;0;1;0.1;65587;131.6;0.1;1.3;0;0;1.4000000000000001;0.2;0.1
CRS3035RES200mN3130400E3785800;C200M;A;59183;234.5;99;21;33;8;63;11;4567099.3;8343;27;72;31;0;99;60.5;48
CRS3035RES200mN3130600E3785400;C200M;A;59183;155.5;80;31;30;3;0;24;2464602.9;5703;79;1;78;4;80;30;24
CRS3035RES200mN3128400E3784800;C200M;A;59183;94;45;5;15;1;26;5;2212710.9;4032;18;27;19;0;45;12;21
CRS3035RES200mN3128600E3785000;C200M;A;59183;112;44;4;7;2;42;7;3221995.3;4825;0;44;0;0;44;18;16
CRS3035RES200mN3128800E3785200;C200M;A;59183;181.5;63;5;9;7;46;8;4222832.6;5892;0;63;16;0;63;43.5;18
CRS3035RES200mN3128800E3785000;C200M;A;59183;158.5;61;4;8;3;58;7;4143235.8;6465;0;61;1;0;61;34.5;34
CRS3035RES200mN3128600E3784800;C200M;A;59183;131;54;0;11;4;54;3;3952466.5;6085;0;54;0;0;54;21;43
CRS3035RES200mN3128800E3784800;C200M;A;59183;136;58;5;16;2;49;3;3393793.7;5512;0;58;2;0;58;19;46
